ID,title,category,target,weapon,killedinac,injured,datetimest,MGRS,GARS,GEOREF,USNG,UTM
1,DETAIN RPT,Detain,Neutral,Unknown,0,8,7/27/2014 0:00,10SFF0352849921,117LP35,DJPG0944035349,10S FF 03528 49921,10S 603527 4049920
2,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,0,7/27/2014 0:00,10SFF0264151590,117LP35,DJPG0885936258,10S FF 02641 51590,10S 602641 4051590
3,MINE STRIKE RPT,Mine,Neutral,Mine,9,3,7/27/2014 0:00,10SFF0442454527,117LP36,DJPG1007837834,10S FF 04424 54527,10S 604423 4054526
4,INTERDICTION RPT,IED,Friendly,VBIED,5,9,7/27/2014 0:00,10SFF0283050602,117LP35,DJPG0897735722,10S FF 02830 50602,10S 602830 4050602
5,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,1,7/27/2014 0:00,10SEF9561653028,117LP34,DJPG0415737079,10S EF 95616 53028,10S 595616 4053027
6,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,8,8,7/27/2014 0:00,10SEF9864949102,117LP38,DJPG0616234938,10S EF 98649 49102,10S 598649 4049102
7,ATTACK RPT,Attack,Friendly,Small Arms,0,0,7/27/2014 0:00,10SFF0438851845,117LP36,DJPG1003236384,10S FF 04388 51845,10S 604388 4051845
8,MINE STRIKE RPT,Mine,Neutral,Mine,5,2,7/27/2014 0:00,10SEF9677053417,117LP34,DJPG0493437283,10S EF 96770 53417,10S 596769 4053417
9,IED EXPLOSION RPT,IED,Friendly,VOIED,1,9,7/27/2014 0:00,10SEF9944250923,117LP35,DJPG0670835918,10S EF 99442 50923,10S 599442 4050923
10,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,9,7/27/2014 0:00,10SEF9971750748,117LP35,DJPG0689135821,10S EF 99717 50748,10S 599717 4050748
11,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,0,7/27/2014 0:00,10SEF9510251912,117LP34,DJPG0380436479,10S EF 95102 51912,10S 595101 4051912
12,MURDER,Murder,Friendly,Small Arms,7,8,7/27/2014 0:00,10SEF9843649616,117LP35,DJPG0602335217,10S EF 98436 49616,10S 598435 4049616
13,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,3,4,7/27/2014 0:00,10SEF9681445200,117LP37,DJPG0490232839,10S EF 96814 45200,10S 596814 4045200
14,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,4,5,7/27/2014 0:00,10SEF9613946100,117LP37,DJPG0445633329,10S EF 96139 46100,10S 596139 4046099
15,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,0,7/27/2014 0:00,10SFF0370051879,117LP35,DJPG0957136407,10S FF 03700 51879,10S 603699 4051878
16,ATTACK RPT,Attack,Friendly,Hand Grenade,9,8,7/27/2014 0:00,10SFF0296649342,117LP35,DJPG0905835040,10S FF 02966 49342,10S 602965 4049341
