AttackMode,Target,TargetSect,TGTType,TargetSubt,TargetNati,Inside,SuicideAtt,CounterAtt,AttackScal,NoAttacks,DMGScale,DMGDetail,EventTitle,TargetGrou,TargetType,TargetReqi,TargetCoun,NonTargetF,TargetFata,TotalFatal,NonTargetW,TargetWoun,TotalWound,Hostages,Injuries,Notes,Source,Descriptio,EvID,Location,Event_DESC
Other,Civilians,Civilian,People,Random Selection,Afghanistan,N,N,Investigation,Micro,3,No known physical damage,None,Looting of civilian homes,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Civilian homes in the area were looted.,1,41SPU5017455549,Looting
Explosive Device,US Military convoy,Military,People,Group,United States,N,N,Investigation,Micro,1,Destruction of a vehicle,Vehicle destroyed in attack,US Military convoy target of explosion,Taliban,Militant Islamist,South Asia,Afghanistan,1,0,1,8,0,8,0,Minor injuries,,US Military,Explosive device detonated. One person was killed in the attack. 8 people suffered minor injuries.,2,42SWF5177278230,House Borne IED (HBIED) Explosion
Explosive Device,US Military Checkpoint,Military,People,Group,United States,N,N,Other,Micro,0,No known physical damage,None,Grenades thrown at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,1,0,1,0,Major injury,,US Military,Grenades thrown at US Military Checkpoint. 4 people were killed in the attack. One individual suffered minor injuries.,3,42STF7410477924,Grenade
Explosive Device,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,4,41SNV7089729822,Unexploded Ordnance (UXO)
Ambush,Civilian,<Null>,<Null>,<Null>,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Civilian murdered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,1,0,1,1,0,1,0,Major injury,,Afghanistan Government,Civilian murdered by suspected member of Al-Qaeda. One person was killed in the attack. One individual suffered minor injuries.,5,42SWD3032315198,Murder
Multimode Attack,US Soldiers,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,Grenades thrown at US Soldiers,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,2,0,2,0,Major and minor injuries,,US Military,Grenades thrown at US Soldiers. 3 people were killed in the attack. 2 people suffered minor injuries.,6,42STE6157609445,IDF/Grenade
Standoff Weapon,US Military Checkpoint,Military,People,Group,United States,N,N,Other,Micro,2,No known physical damage,None,Mortar fired at US Military Checkpoint,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,Mortar was fired at US Military Checkpoint.,7,42SUF5352553716,Mortar
Ambush,Afghan Soldiers,Military,People,Group,Afghanistan,N,N,Attack,Micro,3,No known physical damage,None,Afghan Soldiersambushed by Al-Qaeda,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,1,1,3,1,4,0,Minor injuries,Target killed in counterattack; Target wounded in counterattack;,Afghanistan Government,Suspected members of Al-Qaeda ambushed Afghan Soldiers. One person was killed in the attack. 4 people suffered minor injuries.,8,41SMT4998746335,Ambush
Explosive Device,Afghan Security Post,Military,People,Random Selection,Afghanistan,N,Y,Other,Micro,1,No known physical damage,None,Unexploded ordnance discovered,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,Unexploded ordnance located.,9,41SPS5987532608,Unexploded Ordnance (UXO)
Ambush,Afghan government official,Government,People,Individual,Afghanistan,N,N,Legal/Diplomatic,Micro,1,No known physical damage,None,Afghan government official kidnapped by Taliban,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,1,0,1,1,Major injury,Hostages taken;,Afghanistan Government,Afghan government official was kidnapped by members of Taliban. One individual suffered minor injuries.,10,42SWE1693843480,Kidnapping
Multimode Attack,Afghan Police,Military,People,Random Selection,Afghanistan,N,N,Attack,Micro,1,No known physical damage,None,Afghan Police target of explosion,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,4,0,4,4,0,4,0,Major injuries,,Afghanistan Government,Explosive device detonated. 4 people were killed in the attack. The attackers seriously injured 4 people.,11,42SUC3899934764,IDF/IED
Explosive Device,US Soldiers,Military,People,Random Selection,United States,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Taliban,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,US Military,An explosive device was discovered and disarmed.,12,42SXF2450313439,IED Pre-detonation
Ambush,Civilians,Civilian,People,Group,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Drive by shooting,Taliban,Militant Islamist,South Asia,Afghanistan,3,0,3,5,0,5,0,Major injuries,,Afghanistan Government,Drive by shooting occured. 3 people were killed in the attack. The attackers seriously injured 5 people.,13,42SXD4657242447,Drive by Shooting
Explosive Device,Afghan Soldiers,Military,People,Random Selection,Afghanistan,N,N,Investigation,Micro,1,No known physical damage,None,Explosive device found and cleared,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,0,0,0,0,0,0,0,None,,Afghanistan Government,An explosive device was discovered and disarmed.,14,41SPU1635705561,IED Pre-detonation
Multimode Attack,US Military Checkpoint,Military,People,Group,United States,N,N,Attack,Micro,3,No known physical damage,None,Grenades thrown at US Military Checkpoint,Al-Qaeda,Militant Islamist,South Asia,Afghanistan,2,0,2,5,0,5,0,Major and minor injuries,,US Military,Grenades thrown at US Military Checkpoint. 2 people were killed in the attack. 5 people suffered minor injuries.,15,42SUD5720251597,IDF/Grenade
