OBJECTID,OID_,OBJECTID_1,title,category,target,weapon,killedinac,injured,datetimest,ORIG_OID,POINT_X,POINT_Y
-1,,1,DETAIN RPT,Detain,Neutral,Unknown,0,8,7/27/2014 0:00:00,1,603527.880788862355985,4049920.821745338384062
-1,,2,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,0,7/27/2014 0:00:00,2,602641.358632839284837,4051590.138271434698254
-1,,3,MINE STRIKE RPT,Mine,Neutral,Mine,9,3,7/27/2014 0:00:00,3,604423.842316742287949,4054526.760365977417678
-1,,4,INTERDICTION RPT,IED,Friendly,VBIED,5,9,7/27/2014 0:00:00,4,602830.244687089812942,4050602.001182666048408
-1,,5,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,1,7/27/2014 0:00:00,5,595616.194421330466866,4053027.933926747646183
-1,,6,DIRECT FIRE RPT,Direct Fire,Friendly,RPG,8,8,7/27/2014 0:00:00,6,598649.330271688057110,4049102.284876933787018
-1,,7,ATTACK RPT,Attack,Friendly,Small Arms,0,0,7/27/2014 0:00:00,7,604388.032815615064465,4051845.084051311481744
-1,,8,MINE STRIKE RPT,Mine,Neutral,Mine,5,2,7/27/2014 0:00:00,8,596769.563990395865403,4053417.115261781029403
-1,,9,IED EXPLOSION RPT,IED,Friendly,VOIED,1,9,7/27/2014 0:00:00,9,599442.478287632693537,4050923.446510497014970
-1,,10,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,9,9,7/27/2014 0:00:00,10,599717.245202077552676,4050748.066784336697310
-1,,11,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,0,7/27/2014 0:00:00,11,595101.954944842960685,4051912.165597010869533
-1,,12,MURDER,Murder,Friendly,Small Arms,7,8,7/27/2014 0:00:00,12,598435.966403510421515,4049616.323539683595300
-1,,13,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,3,4,7/27/2014 0:00:00,13,596814.425778306089342,4045200.426450983155519
-1,,14,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,4,5,7/27/2014 0:00:00,14,596139.419421443832107,4046099.576624010689557
-1,,15,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,0,7/27/2014 0:00:00,15,603699.818736600223929,4051878.827426828444004
-1,,16,ATTACK RPT,Attack,Friendly,Hand Grenade,9,8,7/27/2014 0:00:00,16,602965.585174458101392,4049341.728422973770648
-1,,17,,IED,,,0,0,,17,602200.416368230711669,4049803.725129296537489
-1,,18,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,2,0,7/27/2014 0:00:00,18,596345.960247716866434,4051343.238839985337108
-1,,19,ATTACK RPT,Attack,Friendly,Small Arms,9,0,7/27/2014 0:00:00,19,598322.983594452962279,4051170.271489074453712
-1,,20,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,9,7/28/2014 0:00:00,20,604642.670605612685904,4050488.377630372531712
-1,,21,INDIRECT FIRE RPT,Indirect Fire,Friendly,Small Arms,2,5,7/28/2014 0:00:00,21,596104.854307450936176,4046169.097883486188948
-1,,22,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,1,8,7/28/2014 0:00:00,22,600989.154744422761723,4049795.187893330119550
-1,,23,IED EXPLOSION RPT,IED,Friendly,CWIED,8,9,7/28/2014 0:00:00,23,602723.094464152236469,4050270.348983550444245
-1,,24,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,9,7/28/2014 0:00:00,24,603461.416823484818451,4050289.234198254067451
-1,,25,ATTACK RPT,Attack,Friendly,Rocket,9,0,7/28/2014 0:00:00,25,598108.097848779056221,4051273.367607214953750
-1,,26,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,2,9,7/28/2014 0:00:00,26,603808.943028834881261,4050578.108818938955665
-1,,27,IED EXPLOSION RPT,IED,Friendly,VOIED,0,8,7/28/2014 0:00:00,27,598842.216702316422015,4049344.316472859121859
-1,,28,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,4,7/28/2014 0:00:00,28,596106.418120911694132,4045233.582103148568422
-1,,29,ARREST RPT,Arrest,Enemy,Unknown,3,9,7/28/2014 0:00:00,29,602335.399380471324548,4050260.593586481641978
-1,,30,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,0,7/28/2014 0:00:00,30,601369.491183400852606,4051334.011498106177896
-1,,31,IED EXPLOSION RPT,IED,Friendly,VOIED,9,9,7/28/2014 0:00:00,31,599621.125880712177604,4050727.494324172846973
-1,,32,IED EXPLOSION RPT,IED,Friendly,VOIED,8,2,7/28/2014 0:00:00,32,605158.963780575082637,4054107.881973138544708
-1,,33,IED EXPLOSION RPT,IED,Friendly,RCIED,0,7,7/28/2014 0:00:00,33,602899.896060097962618,4048841.813241411931813
-1,,34,SMALL UNIT ACTIONS RPT,Other,Enemy,Small Arms,0,2,7/28/2014 0:00:00,34,603507.516683212248608,4053413.912933506537229
-1,,35,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,0,9,7/28/2014 0:00:00,35,597828.815342303249054,4050791.435993301216513
-1,,36,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,0,9,7/28/2014 0:00:00,36,598591.123353339731693,4050633.994556588586420
-1,,37,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,9,1,7/28/2014 0:00:00,37,602942.629053326323628,4052823.922741799615324
-1,,38,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,0,7/28/2014 0:00:00,38,603195.914804619154893,4051513.386128630489111
-1,,39,IED EXPLOSION RPT,IED,Friendly,VOIED,6,1,7/28/2014 0:00:00,39,596382.404437602846883,4053038.863749737385660
-1,,40,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,8,1,7/28/2014 0:00:00,40,602035.549079633783549,4052234.785633944440633
-1,,41,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,8,9,7/28/2014 0:00:00,41,604362.506846159812994,4050789.986331570427865
-1,,42,IED EXPLOSION RPT,IED,Friendly,VOIED,1,2,7/29/2014 0:00:00,42,596059.706211690907367,4053946.948356399778277
-1,,43,ATTACK RPT,Attack,Friendly,Rocket,0,0,7/29/2014 0:00:00,43,601844.437102626892738,4051974.614995884243399
-1,,44,DISTURBANCE,Disturbance,Neutral,Small Arms,0,9,7/29/2014 0:00:00,44,600065.141240524244495,4050440.497939454391599
-1,,45,ATTACK RPT,Attack,Friendly,Rocket,4,0,7/29/2014 0:00:00,45,603819.789373553940095,4051869.979108023457229
-1,,46,IED EXPLOSION RPT,IED,Friendly,CWIED,8,2,7/29/2014 0:00:00,46,596769.824328705319203,4053418.614857264794409
-1,,47,SURVEILLANCE RPT,Surveillance,Enemy,Unknown,5,5,7/29/2014 0:00:00,47,596629.164649662794545,4046154.013547694310546
-1,,48,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,0,7/29/2014 0:00:00,48,601362.590588120510802,4051317.633010074030608
-1,,49,UNEXPLODED ORDNANCE RPT,Unexploded Ordnance,Friendly,Unknown,0,8,7/29/2014 0:00:00,49,600425.519487436860800,4049598.770139832049608
-1,,50,IED EXPLOSION RPT,IED,Friendly,Unknown,1,2,7/29/2014 0:00:00,50,604600.118768496206030,4053688.818208628799766
-1,,51,INDIRECT FIRE RPT,Other,Friendly,Mortar,1,8,7/29/2014 0:00:00,51,599390.638722489122301,4049238.635331268422306
-1,,52,IED EXPLOSION RPT,IED,Friendly,VOIED,0,9,7/29/2014 0:00:00,52,602806.041723864735104,4050285.093687284272164
-1,,53,IED EXPLOSION RPT,IED,Friendly,VOIED,8,0,7/29/2014 0:00:00,53,595108.950295408489183,4051295.511798583902419
-1,,54,IED EXPLOSION RPT,IED,Friendly,CWIED,5,0,7/29/2014 0:00:00,54,602006.614334528916515,4051374.268226637504995
-1,,55,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,2,9,7/29/2014 0:00:00,55,600376.413889730465598,4050241.961759100202471
-1,,56,IED EXPLOSION RPT,IED,Friendly,Unknown,8,0,7/29/2014 0:00:00,56,597971.277296376880258,4051315.773518824018538
-1,,57,IED EXPLOSION RPT,IED,Friendly,VOIED,7,5,7/29/2014 0:00:00,57,596674.321547616971657,4046349.994121710304171
-1,,58,IED EXPLOSION RPT,IED,Friendly,RCIED,9,0,7/30/2014 0:00:00,58,603790.865118186105974,4051999.961125181987882
-1,,59,MURDER,Murder,Friendly,Small Arms,1,1,7/30/2014 0:00:00,59,604870.406593634514138,4053284.818359922152013
-1,,60,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,4,1,7/30/2014 0:00:00,60,604338.701789451413788,4053104.210520190186799
-1,,61,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,7/30/2014 0:00:00,61,603648.446711906348355,4050465.152552885003388
-1,,62,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,1,0,7/30/2014 0:00:00,62,594582.910479107871652,4051272.432845657691360
-1,,63,ATTACK RPT,Attack,Friendly,Small Arms,2,0,7/30/2014 0:00:00,63,603842.918529144139029,4051753.269838492386043
-1,,64,IED EXPLOSION RPT,IED,Friendly,VOIED,0,6,7/30/2014 0:00:00,64,597035.110574057674967,4047339.459575582761317
-1,,65,IED EXPLOSION RPT,IED,Friendly,RCIED,6,3,7/30/2014 0:00:00,65,605595.744407746358775,4055171.729209593497217
-1,,66,IED EXPLOSION RPT,IED,Friendly,VOIED,9,1,7/30/2014 0:00:00,66,604341.111529395799153,4052682.763986278325319
-1,,67,IED EXPLOSION RPT,IED,Friendly,Unknown,0,2,7/30/2014 0:00:00,67,603467.706103631528094,4053769.711104454007000
-1,,68,ESCALATION OF FORCE RPT,Other,Enemy,Small Arms,9,0,7/30/2014 0:00:00,68,595008.557084677391686,4051264.816683486104012
-1,,69,ESCALATION OF FORCE RPT,Other,Enemy,Unknown,0,7,7/30/2014 0:00:00,69,602924.445238794432953,4048842.197973864153028
-1,,70,INDIRECT FIRE RPT,Indirect Fire,Friendly,Mortar,0,6,7/30/2014 0:00:00,70,597037.399329995154403,4047350.774048348888755
-1,,71,CACHE FOUND/CLEARED RPT,Cache Found Cleared,Enemy,Unknown,9,2,7/30/2014 0:00:00,71,604544.851570362807252,4054403.267471357248724
-1,,72,IED EXPLOSION RPT,IED,Friendly,VOIED,9,8,7/30/2014 0:00:00,72,600733.863520035985857,4049402.229804907459766
-1,,73,IED EXPLOSION RPT,IED,Friendly,VOIED,2,9,7/30/2014 0:00:00,73,601873.623972313595004,4050700.146437309216708
-1,,74,DIRECT FIRE RPT,Direct Fire,Friendly,Small Arms,4,2,7/30/2014 0:00:00,74,596407.144700731849298,4053766.736634519416839
-1,,75,INDIRECT FIRE RPT (Rocket),Indirect Fire,Friendly,Rocket,9,1,7/30/2014 0:00:00,75,597395.174173128558323,4052681.161174697801471
-1,,76,IED EXPLOSION RPT,IED,Friendly,Unknown,9,0,7/31/2014 0:00:00,76,597384.619905899977311,4051695.687410470098257
-1,,77,ARREST RPT,Arrest,Neutral,Small Arms,8,9,7/31/2014 0:00:00,77,602837.590627792757004,4051065.479445972479880
